State,District,Year,Enrolment,Updates,Rejections,Avg_Age_Enrolled,Gender_Ratio_Female
Andhra Pradesh,Vishakhapatnam,2018,1427376,286994,16032,48.3,990.0
Andhra Pradesh,Vishakhapatnam,2019,1459121,151743,8935,32.6,1041.0
Andhra Pradesh,Vishakhapatnam,2020,1517018,238396,8195,30.8,1045.0
Andhra Pradesh,Vishakhapatnam,2021,1562362,91682,4161,20.0,1026.0
Andhra Pradesh,Vishakhapatnam,2022,1588372,249123,8139,21.7,1035.0
Andhra Pradesh,Vishakhapatnam,2023,1578468,163873,3874,29.7,1016.0
Andhra Pradesh,Vishakhapatnam,2024,1636335,256150,11506,36.0,985.0
Andhra Pradesh,Chittoor,2018,1331090,152896,4382,22.8,1013.0
Andhra Pradesh,Chittoor,2019,1341577,103526,3277,23.9,1047.0
Andhra Pradesh,Chittoor,2020,1377917,161434,3011,40.4,1009.0
Andhra Pradesh,Chittoor,2021,1364602,335442,12026,26.2,1002.0
Andhra Pradesh,Chittoor,2022,1351994,287684,12973,30.4,1007.0
Andhra Pradesh,Chittoor,2023,1394872,80728,4601,26.2,1010.0
Andhra Pradesh,Chittoor,2024,1419257,276150,7290,44.7,920.0
Andhra Pradesh,Guntur,2018,1543495,370958,16955,34.3,917.0
Andhra Pradesh,Guntur,2019,1586405,363804,9894,43.2,934.0
Andhra Pradesh,Guntur,2020,1589621,354910,12889,38.2,1038.0
Andhra Pradesh,Guntur,2021,1578811,104291,1099,45.9,976.0
Andhra Pradesh,Guntur,2022,1627989,362584,19201,35.0,982.0
Andhra Pradesh,Guntur,2023,1649220,353115,18228,40.3,1032.0
Andhra Pradesh,Guntur,2024,1680178,122264,7131,21.1,1043.0
Andhra Pradesh,Krishna,2018,1875211,454597,8150,19.8,1010.0
Andhra Pradesh,Krishna,2019,1890087,447038,25119,26.7,977.0
Andhra Pradesh,Krishna,2020,1944752,291918,15517,43.5,955.0
Andhra Pradesh,Krishna,2021,1964674,251054,2932,41.9,982.0
