pincode,date,state,district,age_0_5,age_5_17,age_18_greater,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,year,quarter_4_month
100000,2025-02-09,100000,100000,0.0,0.0,3.0,,,,,2025,Q1_Jan_Apr
100000,2025-03-09,100000,100000,0.0,0.0,1.0,,,,,2025,Q1_Jan_Apr
110001,2025-01-03,Delhi,New Delhi,,,,181.0,159.0,74.0,437.0,2025,Q1_Jan_Apr
110001,2025-01-04,Delhi,New Delhi,,,,223.0,163.0,,,2025,Q1_Jan_Apr
110001,2025-01-05,Delhi,New Delhi,,,,144.0,163.0,,,2025,Q1_Jan_Apr
110001,2025-01-06,Delhi,New Delhi,,,,121.0,164.0,44.0,321.0,2025,Q1_Jan_Apr
110001,2025-01-07,Delhi,New Delhi,,,,151.0,201.0,,,2025,Q1_Jan_Apr
110001,2025-01-09,Delhi,Central Delhi,0.0,1.0,0.0,0.0,2.0,1.0,10.0,2025,Q1_Jan_Apr
110001,2025-01-12,Delhi,Central Delhi,,,,1.0,2.0,0.0,5.0,2025,Q1_Jan_Apr
110001,2025-02-09,Delhi,New Delhi,1.0,1.0,0.0,4.0,5.0,,,2025,Q1_Jan_Apr
110001,2025-02-12,Delhi,New Delhi,,,,8.0,9.0,0.0,3.0,2025,Q1_Jan_Apr
110001,2025-03-09,Delhi,Central Delhi,0.0,1.0,0.0,1.0,3.0,,,2025,Q1_Jan_Apr
110001,2025-03-11,Delhi,New Delhi,,,,,,4.0,8.0,2025,Q1_Jan_Apr
110001,2025-03-12,Delhi,Central Delhi,,,,0.0,1.0,2.0,19.0,2025,Q1_Jan_Apr
110001,2025-04-09,Delhi,New Delhi,,,,15.0,3.0,,,2025,Q1_Jan_Apr
110001,2025-04-11,Delhi,New Delhi,,,,,,1.0,9.0,2025,Q1_Jan_Apr
110001,2025-04-12,Delhi,Central Delhi,,,,0.0,3.0,1.0,12.0,2025,Q1_Jan_Apr
110002,2025-01-03,Delhi,Central Delhi,,,,260.0,427.0,,,2025,Q1_Jan_Apr
110002,2025-01-04,Delhi,Central Delhi,,,,625.0,602.0,,,2025,Q1_Jan_Apr
110002,2025-01-05,Delhi,Central Delhi,,,,382.0,536.0,,,2025,Q1_Jan_Apr
110002,2025-01-06,Delhi,Central Delhi,,,,285.0,403.0,,,2025,Q1_Jan_Apr
110002,2025-01-07,Delhi,Central Delhi,,,,387.0,510.0,,,2025,Q1_Jan_Apr
110002,2025-01-09,Delhi,Central Delhi,2.0,1.0,0.0,8.0,22.0,,,2025,Q1_Jan_Apr
110002,2025-01-12,Delhi,Central Delhi,,,,13.0,14.0,3.0,35.0,2025,Q1_Jan_Apr
110002,2025-02-09,Delhi,Central Delhi,1.0,0.0,0.0,,,,,2025,Q1_Jan_Apr
110002,2025-02-12,Delhi,Central Delhi,,,,31.0,22.0,4.0,37.0,2025,Q1_Jan_Apr
110002,2025-03-01,Delhi,Central Delhi,,,,,,65.0,714.0,2025,Q1_Jan_Apr
110002,2025-03-09,Delhi,Central Delhi,3.0,3.0,0.0,15.0,16.0,,,2025,Q1_Jan_Apr
110002,2025-03-12,Delhi,Central Delhi,,,,14.0,18.0,,,2025,Q1_Jan_Apr
110002,2025-04-09,Delhi,Central Delhi,3.0,0.0,0.0,15.0,19.0,2.0,16.0,2025,Q1_Jan_Apr
110002,2025-04-12,Delhi,Central Delhi,,,,16.0,18.0,,,2025,Q1_Jan_Apr
110003,2025-01-03,Delhi,Central Delhi,,,,347.0,411.0,,,2025,Q1_Jan_Apr
110003,2025-01-04,Delhi,Central Delhi,80.0,41.0,12.0,19.0,174.0,,,2025,Q1_Jan_Apr
110003,2025-01-05,Delhi,Central Delhi,53.0,22.0,10.0,10.0,188.0,,,2025,Q1_Jan_Apr
110003,2025-01-06,Delhi,New Delhi,78.0,30.0,16.0,11.0,119.0,,,2025,Q1_Jan_Apr
110003,2025-01-07,Delhi,New Delhi,131.0,66.0,15.0,342.0,506.0,,,2025,Q1_Jan_Apr
110003,2025-01-09,Delhi,South Delhi,0.0,1.0,0.0,0.0,7.0,,,2025,Q1_Jan_Apr
110003,2025-01-11,Delhi,Central Delhi,,,,,,3.0,18.0,2025,Q1_Jan_Apr
110003,2025-01-12,Delhi,South Delhi,,,,0.0,8.0,1.0,20.0,2025,Q1_Jan_Apr
110003,2025-02-09,Delhi,Central Delhi,2.0,5.0,0.0,,,,,2025,Q1_Jan_Apr
110003,2025-02-11,Delhi,Central Delhi,,,,,,3.0,16.0,2025,Q1_Jan_Apr
110003,2025-02-12,Delhi,Central Delhi,,,,20.0,19.0,4.0,32.0,2025,Q1_Jan_Apr
110003,2025-03-01,Delhi,Central Delhi,,,,,,75.0,571.0,2025,Q1_Jan_Apr
110003,2025-03-09,Delhi,Central Delhi,3.0,1.0,0.0,9.0,12.0,,,2025,Q1_Jan_Apr
110003,2025-03-11,Delhi,Central Delhi,,,,,,5.0,23.0,2025,Q1_Jan_Apr
110003,2025-03-12,Delhi,South Delhi,,,,1.0,5.0,1.0,18.0,2025,Q1_Jan_Apr
110003,2025-04-09,Delhi,Central Delhi,2.0,2.0,0.0,14.0,12.0,3.0,16.0,2025,Q1_Jan_Apr
110003,2025-04-11,Delhi,Central Delhi,,,,,,1.0,17.0,2025,Q1_Jan_Apr
110003,2025-04-12,Delhi,South Delhi,,,,0.0,4.0,0.0,6.0,2025,Q1_Jan_Apr
110004,2025-01-09,Delhi,Central Delhi,,,,0.0,1.0,,,2025,Q1_Jan_Apr
110004,2025-01-12,Delhi,Central Delhi,,,,10.0,0.0,,,2025,Q1_Jan_Apr
110004,2025-02-09,Delhi,Central Delhi,,,,5.0,0.0,0.0,3.0,2025,Q1_Jan_Apr
