city_type,date,state,district,pincode,enrol_age_0_5,enrol_age_5_17,enrol_age_18_greater,demo_demo_age_5_17,demo_demo_age_17_,bio_bio_age_5_17,bio_bio_age_17_
Metropolitan,2025-04-01,Delhi,North Delhi,110006,0.0,0.0,0.0,300.0,2599.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,Central Delhi,110008,0.0,0.0,0.0,408.0,3192.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,North West Delhi,110009,0.0,0.0,0.0,106.0,1541.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,Central Delhi,110012,0.0,0.0,0.0,91.0,658.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,South Delhi,110025,0.0,0.0,0.0,442.0,3181.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,Shahdara,110032,0.0,0.0,0.0,429.0,2068.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,North West Delhi,110033,0.0,0.0,0.0,476.0,5066.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,North West Delhi,110034,0.0,0.0,0.0,642.0,3945.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,North West Delhi,110036,0.0,0.0,0.0,249.0,1268.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,South West Delhi,110037,0.0,0.0,0.0,489.0,1984.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,North West Delhi,110039,0.0,0.0,0.0,640.0,2340.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,West Delhi,110041,0.0,0.0,0.0,2229.0,7180.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,South Delhi,110044,0.0,0.0,0.0,1333.0,6949.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,South West Delhi,110045,0.0,0.0,0.0,520.0,4935.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,North Delhi,110054,0.0,0.0,0.0,97.0,642.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,South West Delhi,110057,0.0,0.0,0.0,41.0,624.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,West Delhi,110059,0.0,0.0,0.0,1780.0,14314.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,West Delhi,110063,0.0,0.0,0.0,209.0,1922.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,South Delhi,110065,0.0,0.0,0.0,127.0,1009.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,South West Delhi,110071,0.0,0.0,0.0,166.0,968.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,South Delhi,110074,0.0,0.0,0.0,301.0,1805.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,South West Delhi,110075,0.0,0.0,0.0,150.0,1213.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,South West Delhi,110078,0.0,0.0,0.0,330.0,1736.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,South Delhi,110080,0.0,0.0,0.0,199.0,1040.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,North West Delhi,110086,0.0,0.0,0.0,1938.0,11133.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,West Delhi,110087,0.0,0.0,0.0,146.0,968.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,North West Delhi,110088,0.0,0.0,0.0,192.0,1667.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,East Delhi,110092,0.0,0.0,0.0,1132.0,6242.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,North East Delhi,110093,0.0,0.0,0.0,874.0,2849.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,North East Delhi,110094,0.0,0.0,0.0,2690.0,9668.0,0.0,0.0
Metropolitan,2025-04-01,Delhi,East Delhi,110096,0.0,0.0,0.0,2262.0,5956.0,0.0,0.0
Metropolitan,2025-04-01,Haryana,Faridabad,121003,0.0,0.0,0.0,381.0,2126.0,0.0,0.0
Metropolitan,2025-04-01,Haryana,Faridabad,121004,0.0,0.0,0.0,1045.0,5354.0,0.0,0.0
Metropolitan,2025-04-01,Haryana,Faridabad,121005,0.0,0.0,0.0,318.0,2000.0,0.0,0.0
Metropolitan,2025-04-01,Haryana,Faridabad,121006,0.0,0.0,0.0,98.0,534.0,0.0,0.0
Metropolitan,2025-04-01,Haryana,Faridabad,121101,0.0,0.0,0.0,77.0,555.0,0.0,0.0
Non-Metropolitan,2025-04-01,Haryana,Palwal,121105,0.0,0.0,0.0,80.0,651.0,0.0,0.0
Metropolitan,2025-04-01,Haryana,Gurgaon,122001,0.0,0.0,0.0,867.0,5452.0,0.0,0.0
Metropolitan,2025-04-01,Haryana,Gurgaon,122002,0.0,0.0,0.0,135.0,1020.0,0.0,0.0
Metropolitan,2025-04-01,Haryana,Gurgaon,122017,0.0,0.0,0.0,137.0,1049.0,0.0,0.0
